Organisation;Number of project
13053;UNIVERSITY OF UTAH;1
13054;UNIVERSITY OF VERMONT AND STATE AGRICULTURAL COLLEGE;1
13055;UNIVERSITY OF WASHINGTON;1
13056;University of Waterloo;1
13057;UNIVERSITY OF WOLVERHAMPTON;5
13058;University of Worcester;1
13059;UNIVERSITY OF WYOMING;1
13060;UNIVERSITY OF YORK;35
13061;UNIVERSITY OF ZAGREB - FACULTY OF FOOD TECHNOLOGY AND BIOTECHNOLOGY - UZAG PBF;1
13062;UNIVERSITY OF ZAMBIA;1
13063;UNIVERSITY ST KLIMENT OHRIDSKI BITOLA;1
13064;University System of Maryland;1
13065;UNIVERSYTET MEDYCZNY W LODZI.;1
13066;UNIVERZA NA PRIMORSKEM UNIVERSITA DEL LITORALE;6
13067;UNIVERZA V LJUBLJANI;34
13068;UNIVERZA V MARIBORU;6
13069;UNIVERZA V MARIBORU, CENTER ZA UPORABNO MATEMATIKO IN TEORETICNO FIZIKO P.O. ZAVOD;2
13070;UNIVERZA V NOVI GORICI;2
13071;UNIVERZITA JANA EVANGELISTY PURKYNE V USTI NAD LABEM;1
13072;UNIVERZITA KARLOVA V PRAZE;23
13073;UNIVERZITA KOMENSKEHO V BRATISLAVE;8
13074;Univerzita Mateja Bela v Banskej Bystrici;2
13075;UNIVERZITA PALACKEHO V OLOMOUCI;3
13076;UNIVERZITA PARDUBICE;3
13077;UNIVERZITA PAVLA JOZEFA SAFARIKA V KOSICIACH;1
13078;UNIVERZITET U BANJOJ LUCI;2
13079;UNIVERZITET U BEOGRADU;4
13080;UNIVERZITET U BEOGRADU - FAKULTET ZA FIZICKU HEMIJU;1
13081;UNIVERZITET U BEOGRADU - Filozofski fakultet;1
13082;Univerzitet u Beogradu - Saobracajni fakultet;4
13083;UNIVERZITET U ISTOCNOM SARAJEVU;1
13084;UNIVERZITET U KRAGUJEVCU;1
13085;UNIVERZITET U NOVOM SADU;7
13086;Univerzitet u Novom Sadu - Medicinski fakultet;1
13087;UNIVERZITET U NOVOM SADU FAKULTET TEHNICKIH NAUKA;3
13088;Univerzitet u Novom Sadu, Poljoprivredni fakultet Novi Sad;2
13089;UNIVERZITET ZA POSLOVNE STUDIJE BANJA LUKA;1
13090;UNIVERZITETNI KLINICNI CENTER LJUBLJANA;3
13091;UNIVERZITETNI REHABILITACIJSKI INSTITUT REPUBLIKE SLOVENIJE-SOCA;1
13092;UNIWERSYTECKIE CENTRUM MEDYCYNY MORSKIEJ I TROPIKALNEJ;1
13093;UNIWERSYTET EKONOMICZNY W KATOWICACH;1
13094;UNIWERSYTET EKONOMICZNY W KRAKOWIE;1
13095;UNIWERSYTET EKONOMICZNY W POZNANIU;3
13096;UNIWERSYTET GDANSKI;4
13097;UNIWERSYTET IM. ADAMA MICKIEWICZA W POZNANIU;9
13098;UNIWERSYTET JAGIELLONSKI;11
13099;UNIWERSYTET LODZKI;4
13100;UNIWERSYTET MEDYCZNY IM KAROLA MARCINKOWSKIEGO W POZNANIU;3
13101;UNIWERSYTET MEDYCZNY IM PIASTOW SLASKICH WE WROCLAWIU;2
13102;UNIWERSYTET MEDYCZNY W LUBLINIE;2
13103;UNIWERSYTET MIKOLAJA KOPERNIKA W TORUNIU;4
13104;UNIWERSYTET PEDAGOGICZNY IM KOMISJI EDUKACJI NARODOWEJ W KRAKOWIE;1
13105;UNIWERSYTET PRZYRODNICZY W POZNANIU*;2
13106;Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie;2
13107;UNIWERSYTET SLASKI;2
13108;UNIWERSYTET WARMINSKO MAZURSKI W OLSZTYNIE;6
13109;UNIWERSYTET WARSZAWSKI;21
13110;UNIWERSYTET WROCLAWSKI;1
13111;UNIWERSYTET ZIELONOGORSKI;1
13112;UNMANNED SOLUTIONS SL;1
13113;UNMONASTERY;1
13114;UNPARALLEL INNOVATION LDA;5
13115;UNSERPARKPLATZ GMBH;1
13116;UNTERNEHMERTUM GMBH;2
13117;UPANDE LIMITED;1
13118;UPC KONSULTOINTI OY;1
13119;UPCOM BVBA;3
13120;UPFRONT CHROMATOGRAPHY AS;1
13121;UPGRADING SERVICES SPA;1
13122;UPM-KYMMENE OYJ;3
13123;UPPERTON LIMITED;1
13124;UPPSALA LANS LANDSTING;1
13125;UPPSALA UNIVERSITET;53
13126;UPSKILL ENTERPRISE LTD;1
13127;URBAN CENTER METROPOLITANO;1
13128;URBAN DNA SOLUTIONS LLP;2
13129;URBAN SOFTWARE INSTITUTE GMBH & CO KG;1
13130;URBANA DE EXTERIORES SL;1
13131;URBANISTICNI INSTITUT REPUBLIKE SLOVENIJE;2
13132;URBANRETAIL, S.L;1
13133;URBASER S.A.;1
13134;URBION CONSULTORES SL;1
13135;URBISUP CONSULTING SL;1
13136;UROS KEJZAR;1
13137;URZAD MORSKI W GDYNI;3
13138;URZAD OCHRONY KONKURENCJI I KONSUMENTOW;2
13139;USECON THE USABILITY CONSULTANTS GMBH;2
13140;USER FEEDBACK PROGRAM SL;1
13141;USHARESOFT;1
13142;USTANOVA-CENTER ZA EVROPSKO PRIHODNOST;1
13143;USTAV CHEMICKYCH PROCESU AV CR, v. v. i.;2
13144;USTAV EKOLOGIE LESA SLOVENSKEJ AKADEMIE VIED;1
13145;USTAV EXPERIMENTALNEJ ONKOLOGIE SLOVENSKEJ AKADEMIE VIED;1
13146;USTAV FOTONIKY A ELEKTRONIKY AV CR V.V.I.;1
13147;USTAV FYZIKALNI CHEMIE J. HEYROVSKEHO AV CR, v. v. i.;4
13148;USTAV FYZIKY ATMOSFERY AV CR, v.v.i.;2
13149;Ustav fyziky materialu, Akademie Ved Ceske republiky, v.v.i.;2
13150;USTAV INFORMATIKY AV CR;1
13151;USTAV INFORMATIKY, SLOVENSKA AKADEMIA VIED;1
13152;USTAV MAKROMOLEKULARNI CHEMIE AV CR, v.v.i.;1
13153;USTAV MOLEKULARNI GENETIKY AKADEMIE VED CESKE REPUBLIKY VEREJNA VYZKUMNA INSTITUCE;4
13154;USTAV ORGANICKE CHEMIE A BIOCHEMIE, AV CR, V.V.I.;3
13155;USTAV TEORIE INFORMACE A AUTOMATIZACE AV CR, v.v.i.;1
13156;USTAV ZEMEDELSKE EKONOMIKY A INFORMACI;1
13157;USU Software AG;1
13158;UTB ENVIROTEC KORNYEZETTECHNOLOGIAIZARTKORUEN MUKODO RT;1
13159;UTEXBEL NV;1
13160;UTI GRUP SA;1
13161;Uttarakhand Jal Sansthan;1
13162;UW-ELAST AB;1
13163;V.N. BAKUL INSTITUTE FOR SUPERHARD MATERIALS OF THE NATIONAL ACADEMY OF SCIENCES;1
13164;Värmlands läns landsting;3
13165;VAADIN OY;1
13166;VAASAETT LTD AB OY;2
13167;VAASAN YLIOPISTO;1
13168;VACCIBODY AS;1
13169;VACUUMSCHMELZE GMBH & CO KG;2
13170;VACUVITA HOLDING B.V.;1
13171;VADAC BV;1
13172;VADECITY SL;1
13173;VAE SPB UAB;1
13174;VAILLANT GMBH;4
13175;VAISALA OYJ;2
13176;VALAGRO CARBONE RENOUVELABLE POITOU-CHARENTES;1
13177;VALDANI VICARI & ASSOCIATI SRL;2
13178;VALEO AUTOKLIMATIZACE K.S.;1
13179;VALEO COMFORT AND DRIVING ASSISTANCE;3
13180;VALEO EQUIPEMENTS ELECTRIQUES MOTEUR SAS;3
13181;VALEO SCHALTER UND SENSOREN GMBH;3
13182;VALEO SYSTEMES DE CONTROLE MOTEUR SAS;1
13183;VALEOL SAS;1
13184;VALIDSOFT UK LIMITED;1
13185;VALLETTA KUNSILLI LOKALI;1
13186;VALLOUREC TUBES FRANCE;1
13187;VALOR DESARROLLO E INNOVACION SL;1
13188;VALOREM SAS;1
13189;VALOTEC;1
13190;VALSTS IZGLITIBAS ATTISTIBAS AGENTURA;10
13191;VALSTYBINE NE MAISTO PRODUKTU INSPEKCIJA PRIE UKIO MINISTERIJOS;1
13192;VALSTYBINE VARTOTOJU TEISIU APSAUGOS TARNYBA VI;1
13193;VALSTYBINIS MOKSLINIU TYRIMU INSTITUTAS FIZINIU IR TECHNOLOGIJOS MOKSLU CENTRAS;3
13194;VALSTYBINIS VILNIAUS GAONO ZYDU MUZIEJUS;1
13195;VALUE AGENTS SL;1
13196;VALUEBIOTECH SRL;1
13197;VALUECHAIN.COM ENTERPRISES LTD;2
13198;VAN DEN BERGH JOHANNA JACOBA;1
13199;VAN DER MEER & VAN TILBURG WEST BV;1
13200;VAN DER VELDEN MARINE SYSTEMS BV;1
13201;VAN GANSEWINKEL GROEP BV;1
13202;VAN HEEREN ARIE HENDRIK;1
13203;VAN HOUTUM BV;1
13204;VAN KRANENBURG ROBBERT JAN;1
13205;VANBERLO BV;1
13206;VANDENBORRE ENERGY SYSTEMS NV;2
13207;VANHEEDE ENVIRONMENT GROUP;1
13208;VANHIER BV;1
13209;VANMECHELEN MIEKE;1
13210;VANNPLASTIC LTD;2
13211;VAPOR PV LIMITED;1
13212;VARAANI WORKS OY;1
13213;VARIATA DORIT LANG GMBH & COKG;1
13214;VARIO-OPTICS AG;2
13215;VARNA MARITIME;1
13216;VARSINAIS-SUOMEN LIITTO;1
13217;VARSINAIS-SUOMEN SAIRAANHOITOPIIRIN KUNTAYHTYMA;1
13218;VARTA MICRO INNOVATION GMBH;3
13219;VARTA MICROBATTERY GMBH;5
13220;VARTA STORAGE GMBH;1
13221;VARVEL SPA;2
13222;VASCOPS GMBH;1
13223;VASCULAR FLOW TECHNOLOGIES LIMITED;1
13224;VASTRA GOTALANDS LANS LANDSTING;3
13225;VASTTRAFIK AB;1
13226;VATTENFALL AB;3
13227;VATTENFALL ELDISTRIBUTION AB;2
13228;Vattenfall Europe Innovation GmbH;1
13229;VAXIMAX;1
13230;VAXJO ENERGI AB;1
13231;VAYON ENERGY STORAGE LIMITED;1
13232;VAZQUEZ Y TORRES INGENIERIA SL;1
13233;VB CENTER D.O.O.;1
13234;VBB VERKEHRSVERBUND BERLIN-BRANDENBURG GMBH;2
13235;VCE VIENNA CONSULTING ENGINEERS ZT GMBH;2
13236;VCI ANONYMOS ETAIREIA KAINOTOMON LYSEON PLIROFORIKIS;1
13237;VDE Prüf- und Zertifizierungsinstitut GmbH;1
13238;VDE VERBAND DER ELEKTROTECHNIK ELEKTRONIK INFORMATIONSTECHNIK EV;1
13239;VDEH-BETRIEBSFORSCHUNGSINSTITUT GMBH;2
13240;VDI TECHNOLOGIEZENTRUM GMBH;2
13241;VDI/VDE INNOVATION + TECHNIK GMBH;6
13242;VDL BUS & COACH BV;2
13243;VDL ENABLING TECHNOLOGIES GROUP BV;1
13244;VDV eTicket Service GMBH & CO. KG;1
13245;VDZ gGmbH;2
13246;VECTOR FABRICS BV;1
13247;VECTOR INTERNATIONAL BVBA;1
13248;VectorCommand Ltd;1
13249;VECTOS (SOUTH) LIMITED;6
13250;VEDURSTOFA ISLANDS;2
13251;VEETEEDE AMET;1
13252;VEIGALAN ESTUDIO 2010;1
13253;VEILIGHEIDS- EN GEZONDHEIDSREGIO GELDERLAND-MIDDEN;1
13254;VEJLE KOMMUNE;1
13255;VELEUCILISTE VELIKA GORICA;1
13256;VELTI ANONYMI ETAIREIA PROIONTON LOGISMIKOU & SYNAFON PRIONTON & PIRESION;2
13257;Vending Marketing trgovina, storitve, marketing d.o.o.;1
13258;VENETO INNOVAZIONE SPA;3
13259;VENETO NANOTECH SOCIETA CONSORTILEPER AZIONI;4
13260;VENICE INTERNATIONAL UNIVERSITY;2
13261;VENTER PHARMA S.L.;1
13262;VENTINOVA MEDICAL BV;1
13263;VENTSPILS AUGSTSKOLA;1
13264;VENUSROUZES LABSOLUTIONS;1
13265;VEOLIA DEUTSCHLAND GMBH;1
13266;VEOLIA ENVIRONNEMENT RECHERCHE ET INNOVATION SNC;3
13267;VEOLIA SERVEIS CATALUNYA SOCIEDAD ANONIMA UNIPERSONAL;1
13268;VEOLIA SERVICIOS LECAM SOCIEDAD ANONIMA UNIPERSONAL;1
13269;VEOLIA WATER OUTSOURCING LIMITED;1
13270;VEOLIA WATER TECHNOLOGIES AB;1
13271;VEPLAS VELENJSKA PLASTIKA DD;1
13272;VERBAND DER LANDWIRTSCHAFTSKAMMERNEV;1
13273;Verband Deutscher Verkehrsunternehmen;2
13274;VERBERNE KOEN;1
13275;VERBRAUCHERZENTRALE BUNDESVERBAND E.V.;1
13276;VERBUND AG;1
13277;VERBUND Solutions GmbH;2
13278;VERCO ADVISORY SERVICES LIMITED;1
13279;VEREIN DER EUROPAISCHEN BURGEWISSENSCHAFTEN - ECSA E.V.;2
13280;VEREIN EURESEARCH;9
13281;VEREIN FUR KONSUMENTENINFORMATION;1
13282;VEREIN FUR LANDLICHE STRUKTURFORSCHUNG EV*INSTITUT FUR LANDLICHE STRUKTURFORSCHUNG AN DER JOHANN WOLFGANGGOTHE-UNIVERSITAT;1
13283;VEREIN GS1 SCHWEIZ;1
13284;VEREIN SAVE FOUNDATION SCHWEIZ;1
13285;VEREIN SCHWEIZER LASER UND PHOTONIK NETZ;1
13286;VEREIN ZUR FOERDERUNG ASSISTIERENDER TECHNOLOGIE IN EUROPA;3
13287;VEREIN ZUR FOERDERUNG DES TECHNOLOGIETRANSFERS AN DER HOCHSCHULE BREMERHAVEN E.V.;4
13288;VEREIN ZUR FOERDERUNG EINES DEUTSCHEN FORSCHUNGSNETZES DFN VEREIN E.V.;2
13289;VERENIGING DE BREDESTROOMVERSNELLING;1
13290;VERENIGING EUROCRIS;2
13291;VERENIGING FME CWM;1
13292;VERENIGING HIGH TECH NL;1
13293;VERENIGING PHOTONICSNL;1
13294;VERENIGING REIZIGERS OPENBAAR VERVOER;1
13295;VERENIGING SAMENWERKENDE OUDER- EN PATIENTENORGANISATIES;1
13296;Verhaert New Products & Services;1
13297;VERIDOS GMBH;1
13298;VERIFIED SYSTEMS INTERNATIONAL GMBH;1
13299;VERIZON NEDERLAND BV;1
13300;VERKEHRSWACHT PARKPLATZ GMBH;1
13301;VERKET FÖR INNOVATIONSSYSTEM;5
13302;VERKOTAN OY;1
13303;VERMESSUNG DR. GUNTHER ABWERZGER;1
13304;VERMICON AKTIENGESELLSCHAFT;1
13305;VERMON SA;2
13306;VERNALIS (R&D) LIMITED;1
13307;VERSLI LIETUVA VIESOJI ISTAIGA;1
13308;VERTEBRATE ANTIBODIES LIMITED;1
13309;VERTECH GROUP;3
13310;VERTI BLAST BV;1
13311;VESTAS MANUFACTURING AS;1
13312;VESTAS WIND SYSTEMS A/S;1
13313;Vet-Aqua International;1
13314;VETENSKAP & ALLMANHET, VA;1
13315;VETENSKAPSRADET - SWEDISH RESEARCH COUNCIL;5
13316;VETERINAERINSTITUTTET - NORWEGIAN VETERINARY INSTITUTE;1
13317;VETERINAERMEDIZINISCHE UNIVERSITAET WIEN;4
13318;VETERINARNI A FARMACEUTICKA UNIVERZITA BRNO;1
13319;VETEX NV;1
13320;VETRORESINA SPA;1
13321;VG NICOLAUS GMBH & CO KG;1
13322;VI SYSTEMS GMBH;1
13323;VI VALSTYBINIS MISKOTVARKOS INSTITUTAS;1
13324;Via donau – Österreichische Wasserstraßen-Gesellschaft mbH;2
13325;VIACYTE, INC CORPORATION;1
13326;VIAEUROPA COMPETENCE CENTRE SRO;1
13327;VIALUX MESSTECHNIK + BILDVERARBEITUNG GMBH;1
13328;VIANET SRL;1
13329;VIAS Y CONSTRUCCIONES;1
13330;ViaSat Antenna Systems SA;3
13331;VIASYS VDC OY;1
13332;VIAZYM BV;1
13333;VIB;29
13334;VIBE DI VITO BECCHETTI & C. S.R.L.;2
13335;VIBROSENSE DYNAMICS AB;1
13336;VICARIOUS PERCEPTION TECHNOLOGIES BV;1
13337;VICAT;1
13338;VICOTER DI VIGONI EDOARDO, CORDISCO POTITO E TERRANEO MAURO SNC;1
13339;VICTORIA AND ALBERT MUSEUM;2
13340;VICUS DESARROLLOS TECNOLOGICOS SL;1
13341;VIDEKFEJLESZTESI MINISZTERIUM;1
13342;VIDEO SYSTEMS SRL;1
13343;VIDEOAGENCY SAS;1
13344;VIDEOSTITCH;1
13345;VIDEREGEN LIMITED;1
13346;VIDES AIZARDZIBAS UN REGIONALAS ATTISTIBAS MINISTRIJA;1
13347;Vidrala S.A.;1
13348;VIDZEMES PLANOSANAS REGIONS;1
13349;VIEIRA PAK MANUELA;1
13350;VIENNA CENTRE FOR SOCIETAL SECURITY - VICESSE, WIENER ZENTRUM FUR SOZIALWISSENSCHAFTLICHE SICHERHEITSFORSCHUNG;1
13351;VIESOJI ISTAIGA EUROPOS HUMANITARINIS UNIVERSITETAS;1
13352;VIESOJI ISTAIGA FIZIKOS INSTITUTO MOKSLO IR TECHNOLOGIJU PARKAS;1
13353;VIESOJI ISTAIGA KLAIPEDOS KELEIVINIS TRANSPORTAS;1
13354;VIESOJI ISTAIGA LIETUVOS INOVACIJU CENTRAS;6
13355;VIESOJI ISTAIGA LIETUVOS ZEMES UKIO KONSULTAVIMO TARNYBA;1
13356;VIESOJI ISTAIGA SVIETIMO IR KULTUROS MOBILIUJU TECHNOLOGIJU INSTITUTAS;1
13357;VIESOJI ISTAIGA VIESOSIOS POLITIKOSIR VADYBOS INSTITUTAS;1
13358;VIESSMANN-BELGIUM;1
13359;VIESSMANN WERKE GMBH & CO KG;1
13360;VIGO SYSTEM S.A.;3
13361;VIJOCAR SL;1
13362;VIKINGCO;1
13363;VIKINGEGAARDEN AS;1
13364;VIKTORIA  SWEDISH ICT AB;2
13365;VILABS OE;4
13366;VILLE DE BORDEAUX;1
13367;VILLE DE PARIS;2
13368;VILMORIN;1
13369;VILNIAUS DAILES AKADEMIJA;1
13370;VILNIAUS GEDIMINO TECHNIKOS UNIVERSITETAS;3
13371;VILNIAUS PREKYBOS PRAMONES IR AMATU RUMAI;1
13372;VILNIAUS TECHNOLOGIJU IR DIZAINO KOLEGIJA;1
13373;VILNIAUS UNIVERSITETAS;15
13374;VILOGIA SA;1
13375;VIMAR SPA;1
13376;VINCI CONSTRUCTION FRANCE;1
13377;Vinci Consulting;1
13378;VINIDEA SRL;1
13379;VIOMICHANIA RITINON MEGARON ANASTASIOS FANIS ANONYMOS ETAIRIA;1
13380;VIP VERKEHRSBETRIEB POTSDAM GMBH;1
13381;VIPNET DRUSTVO Z OGRANICENOM ODGOVORNOSCU ZA USLUGE JAVNIH TELEKOMUNIKACIJA;1
13382;VIRBAC SA;1
13383;VIRENTES LTD;1
13384;VIRES SIMULATIONSTECHNOLOGIE GMBH;1
13385;VIRICITI B.V.;1
13386;VIROLOGICKY USTAV SLOVENSKEJ AKADEMIE VIED;1
13387;VIROVET BVBA;1
13388;VIRTUAL CONSULTING ENGINEERS VCE;1
13389;VIRTUAL OPEN SYSTEMS SARL;5
13390;VIRTUAL POWER SOLUTIONS SA;1
13391;virtualcitySYSTEMS GmbH;1
13392;VIRTUALWARE 2007 SA;1
13393;VIRTUS PROJECTS LIMITED;1
13394;VISEDO OY;1
13395;VISEO TECHNOLOGIES;1
13396;VISIONA INGENIERIA DE PROYECTOS SL;1
13397;VISIONWARE-SISTEMAS DE INFORMACAO SA;2
13398;VISOKA TEHNICKA SKOLA STRUKOVNIH STUDIJA U ZRENJANINU;2
13399;VISOLIS TECHNOLOGIES LTD;1
13400;VISPERA BILGI TEKNOLOJILERI SANAYI IC VE DIS TICAREST ANONIM SIRKETI;1
13401;VISSHE UCHILISHTE PO MENIDZHMANT;1
13402;VISSIM AS;1
13403;VISTA Geowissenschaftliche Fernerkundung GmbH;1
13404;VISTATEC LTD;1
13405;VISUAL TAGGING SERVICES;1
13406;VITALITY VECTOR BV;1
13407;VITALOGRAPH (IRELAND) LIMITED;1
13408;VITAMFERO SA;1
13409;VITEC GMBH;1
13410;VITENS NV;2
13411;VITO RIMOLDI SPA;1
13412;VITROCELL SYSTEMS GMBH;1
13413;VIVA DEVELOPMENTS SL;1
13414;VIVACELL BIOTECHNOLOGY GMBH;2
13415;VIVEROS CALIFORNIA SOCIEDAD LIMITADA;1
13416;VIVID COMPONENTS LTD;1
13417;Vivienda y Suelo de Euskadi, S.A.;2
13418;VL BV*VIRAGE LOGIC;1
13419;VLAAMS AGENTSCHAP VOOR INTERNATIONAAL ONDERNEMEN;1
13420;VLAAMS GEWEST;8
13421;VLAAMS INSTITUUT VOOR DE ZEE VZW;8
13422;VLAAMS INSTITUUT VOOR GEZONDHEIDSPROMOTIE EN ZIEKTEPREVENTIE VZW;1
13423;VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK N.V.;32
13424;Vlaamse Vervoersmaatschappij De Lijn;2
13425;VLC PHOTONICS SOCIEDAD LIMITADA;1
13426;VLERICK BUSINESS SCHOOL;2
13427;VLP THE VACCINES COMPANY;1
13428;VLTN GCV;2
13429;VMZ BERLIN BETREIBERGESELLSCHAFT MBH;2
13430;VNK B.V.;1
13431;VOCA AS;1
13432;VOCAPIA RESEARCH;2
13433;VOCTRO LABS SL;1
13434;VODAFONE AUTOMOTIVE TELEMATICS SA;1
13435;VODAFONE ITALIA SPA;1
13436;VODAFONE OMNITEL B.V.;1
13437;Vodafone Procurement Company S. à r.l.;1
13438;VOESTALPINE STAHL GMBH;1
13439;VOGEL AUDIOVISION GESELLSCHAFT MBH;1
13440;VOICE SYSTEMS SRL;1
13441;VOITH ENGINEERING SERVICES GMBH;1
13442;VOITH PAPER GMBH & CO. KG;1
13443;VOLGROEN BV;1
13444;VOLKSWAGEN AG;8
13445;VOLTERRA ECOSYSTEMS SL;1
13446;VOLUMENTAL AB;1
13447;Volvo Bus Corporation;1
13448;VOLVO PERSONVAGNAR AB;4
13449;VOLVO TECHNOLOGY AB;5
13450;VON ARDENNE GMBH;1
13451;VOPTICA S.L.;1
13452;Vornia Limited;3
13453;VORTECH BV;1
13454;VORTEX BLADELESS SL;1
13455;VOSSLOH COGIFER SA;1
13456;Vossloh Kiepe GmbH;1
13457;VOXCAN;1
13458;VOXDALE BVBA;1
13459;VOXYGEN HEALTH;1
13460;VOZTELECOM SISTEMAS S.L.;1
13461;VRIJE UNIVERSITEIT BRUSSEL;32
13462;VRIJHOF ANCHORS BV;1
13463;VRM TECHNOLOGY LTD;1
13464;VRVIS ZENTRUM FUR VIRTUAL REALITY UND VISUALISIERUNG FORSCHUNGS-GMBH;1
13465;VSEOBECNA FAKULTNI NEMOCNICE V PRAZE;2
13466;VsI Open Coffee Club Vilnius;2
13467;VTT MEMSFAB OY;1
13468;VTT VENTURES OY;1
13469;VUJE AS;3
13470;VULCAN AUTOMOTIVE INDUSTRIES LTD;1
13471;VULCANUAV LIMITED;1
13472;VVA BRUSSELS;1
13473;VVA EUROPE LIMITED;1
13474;VYPOCTOVE STREDISKO SLOVENSKEJ AKADEMIE VIED;1
13475;VYSKUMNY USTAV DOPRAVNY AS;2
13476;VYSKUMNY USTAV PAPIERA A CELULOZY AS;1
13477;VYSOKA SKOLA BANSKA - TECHNICKA UNIVERZITA OSTRAVA;8
13478;VYSOKA SKOLA BEZPECNOSTNEHO MANAZERSTVA V KOSICIACH NEZISKOVA ORGANIZACIA;1
13479;VYSOKA SKOLA CHEMICKO-TECHNOLOGICKA V PRAZE;7
13480;VYSOKA SKOLA EKONOMICKA V PRAZE;1
13481;Vysoke uceni technicke v Brne;2
13482;VYSOKE UCENI TECHNICKE V BRNE;7
13483;VYTAUTO DIDZIOJO UNIVERSITETAS;1
13484;VYZKUMNY A ZKUSEBNI LETECKY USTAV A.S.;3
13485;VYZKUMNY USTAV GEODETICKY TOPOGRAFICKY A KARTOGRAFICKY VVI*RESEARCH INSTITUTE OF GEODESY TOPOGRAPHY AND CARTOGRAPHY VUGTK;1
13486;VYZKUMNY USTAV MELIORACI A OCHRANY PUDY VVI;1
13487;VYZKUMNY USTAV ROSTLINNE VYROBY VVI;1
13488;W 42 INDUSTRIAL BIOTECHNOLOGY GMBH;1
13489;W.S. ATKINS INTERNATIONAL LTD;1
13490;WACNGO LTD;1
13491;WADIS LTD;1
13492;WAERTSILA NETHERLANDS B.V.;4
13493;WAGENBORG SHIPPING BV;1
13494;WAGENINGEN UNIVERSITY;57
13495;WAIDE STRATEGIC EFFICIENCY LIMITED;1
13496;WAKE FOREST UNIVERSITY HEALTH SCIENCES;1
13497;WALDKRANKENHAUS ST MARIEN GGMBH;1
13498;WALKABLE FUTURE KORLATOLT FELELOSSEGU TARSASAG;1
13499;WALTER PAK SL;1
13500;WAMTECHNIK SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;1
13501;WAPICE OY;1
13502;WARDELL ARMSTRONG  LLP;1
13503;WARDROBA SRL;1
13504;WARMINSKO-MAZURSKA AGENCJA ROZWOJU REGIONALNEGO SPOLKA AKCYJNA W OLSZTYNIE;1
13505;WARRANT GROUP SRL;3
13506;WARSZAWSKI UNIWERSYTET MEDYCZNY;1
13507;WARTSILA FINLAND OY;3
13508;WARTSILA IBERICA SA;1
13509;WasserCluster Lunz - Biologische Station GmbH;1
13510;WASTE OF ELECTRICAL AND ELECTRONICAL EQUIPMENT FORUM AISBL;1
13511;WATER INSIGHT BV;1
13512;WATER LINKED AS;1
13513;WATER RESEARCH COMMISSION;3
13514;WATER TECHNOLOGY ENGINEERING LTD;1
13515;WATER, ENVIRONMENT AND BUSINESS FORDEVELOPMENT SL;1
13516;WATERFORD INSTITUTE OF TECHNOLOGY;6
13517;WATERGY GMBH;1
13518;WATERLEAU GROUP NV;1
13519;WATERNET TRUST;1
13520;WaterstofNet vzw;1
13521;WATERVIEW SRL;1
13522;WATERWATCH BV;1
13523;WATSTECH LIMITED;1
13524;WATTGO;1
13525;WATTIA INNOVA S.L.;1
13526;WATTICS LIMITED;1
13527;WATTY AB;1
13528;WAVE HUB LIMITED;1
13529;WAVE STAR AS;1
13530;WAVE TRAIN SYSTEMS AS;1
13531;WAVEC/OFFSHORE RENEWABLES - CENTRO DE ENERGIA OFFSHORE ASSOCIACAO;3
13532;WAVEPISTON A/S;1
13533;WAVES AUDIO LTD.;1
13534;WAYRA INVESTIGACION Y DESARROLLO SL;1
13535;WAYZ BV;1
13536;WCMC LBG;3
13537;WDE MASPELL SRL;1
13538;We Deliver Taste s.r.o.;1
13539;WE PLUS SRL;1
13540;WEARABLE TECHNOLOGIES SL;1
13541;Weber-Steinhaus & Smith;1
13542;WEBER ULTRASONICS GMBH;1
13543;WEBLOGS SL;1
13544;WEBLYZARD TECHNOLOGY GMBH;1
13545;WECO WINDOWS SL;1
13546;WEDIA LIMITED;2
13547;WEIR MINERALS NETHERLANDS BV;1
13548;WEIZER ENERGIE-INNOVATIONS-ZENTRUM GMBH;1
13549;WEIZMANN INSTITUTE OF SCIENCE;51
13550;WELLNESS SMART CITIES SLU;3
13551;WELLNESS SPA ITALY CO. LTD;1
13552;WELLNESS TELECOM SL;4
13553;WELLO OY;1
13554;WELLSERVICES BV;1
13555;WELSH ASSEMBLY GOVERNMENT;1
13556;WEMAKE S.R.L.;1
13557;WEMAKE SARL;1
13558;WENZEL LOGISTICS GMBH;1
13559;WEPA-TECHNOLOGIES GMBH;1
13560;West African Science Service Center on Climate Change and Adapted Land Use, WASCAL;1
13561;WEST AND CENTRAL AFRICAN RESEARCH AND EDUCATION NETWORK;3
13562;WEST AND NORTH YORKSHIRE CHAMBER OF COMMERCE AND INDUSTRY;1
13563;WEST AQUILA SRL;1
13564;WEST POMERANIA ECONOMIC DEVELOPMENT ASSOCIATION - SZCZECIN  BUSINESS CENTRE STOWARZYSZENIE;1
13565;WESTERN SYSTEMS OY;1
13566;WESTFAELISCHE WILHELMS-UNIVERSITAET MUENSTER;26
13567;WESTINGHOUSE ELECTRIC SWEDEN AB;1
13568;WETRANSFORM GMBH;1
13569;WFB WIRTSCHAFTSFORDERUNG BREMEN GMBH;2
13570;WFSW SA;1
13571;Whirlpool Europe srl;3
